Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percent,Stress_Level,Assignments_Completed_Percent,Extracurricular_Activity,GPA
S031,22,Female,2.5,7.4,7.6,83.7,3.9,72.1,Yes,4.0
S032,19,Female,1.4,7.5,4.2,56.6,4.7,62.0,Yes,4.0
S033,20,Male,,7.4,7.0,77.9,8.0,55.3,Yes,4.0
S034,20,Male,2.1,7.1,3.8,70.9,5.9,62.7,Yes,4.0
S035,18,Male,3.1,5.0,4.9,80.7,4.2,83.6,Yes,4.0
S036,22,Male,3.4,6.9,3.1,68.1,4.1,81.4,Yes,4.0
S037,18,Male,6.7,6.2,5.8,100.0,3.3,100.0,No,4.0
S038,19,Male,5.5,5.5,7.6,95.7,4.8,92.2,No,4.0
S039,23,Male,2.4,8.5,4.9,83.8,3.3,84.3,No,4.0
S040,24,Female,4.3,8.5,4.6,67.3,3.1,84.8,Yes,4.0
S041,22,Male,3.2,8.2,3.0,85.1,1.5,84.1,Yes,4.0
S042,24,Female,3.4,7.1,4.6,81.8,4.3,82.4,Yes,4.0
S043,23,Female,4.1,8.2,2.1,65.9,3.4,98.2,Yes,4.0
S044,20,Male,4.7,,3.4,81.9,3.1,81.0,Yes,4.0
S045,23,Female,3.3,7.0,5.4,81.2,2.5,90.6,No,4.0
S046,19,Female,5.4,5.7,7.4,89.2,5.6,77.1,Yes,4.0
S047,20,Male,2.1,7.2,10.0,75.9,6.5,70.0,Yes,4.0
S048,21,Male,3.8,6.9,3.9,82.0,3.0,99.2,No,4.0
S049,24,Female,7.7,5.5,7.6,100.0,3.2,100.0,No,4.0
S050,23,Male,4.1,6.7,5.4,91.3,2.4,92.6,No,4.0
S051,20,Male,5.9,6.7,4.7,59.9,1.9,92.9,Yes,4.0
S052,22,Male,3.9,8.6,5.8,76.8,3.0,86.5,No,4.0
S053,18,Female,4.7,7.7,5.1,80.6,4.9,85.9,Yes,4.0
S054,23,Female,3.7,6.8,5.2,63.3,3.5,75.3,No,4.0
S055,21,Female,3.5,7.0,4.3,79.3,4.8,78.4,No,4.0
S056,21,Female,2.6,6.8,2.5,87.0,3.4,81.0,No,4.0
S057,23,Male,4.4,6.6,2.2,71.4,3.6,80.9,Yes,4.0
S058,22,Female,2.5,5.7,6.2,78.5,5.3,67.1,No,4.0
S059,17,Male,4.8,6.6,4.5,74.2,4.7,76.9,Yes,4.0
S060,19,Male,5.4,6.1,3.9,78.2,2.8,99.0,Yes,4.0
S061,18,Female,4.3,5.5,5.0,94.2,2.5,97.1,Yes,4.0
S062,22,Male,3.4,7.3,6.4,73.3,2.9,84.6,No,4.0
S063,17,Female,4.5,7.2,5.3,85.7,3.1,98.9,Yes,4.0
S064,18,Female,3.3,5.0,3.8,61.1,3.2,80.1,No,4.0
S065,21,Female,5.2,6.7,7.2,100.0,4.6,98.1,Yes,4.0
S066,22,Female,1.1,7.8,7.8,76.7,5.2,67.4,No,4.0
S067,21,Female,3.3,7.9,5.9,76.3,7.1,73.6,No,4.0
S068,23,Male,0.8,7.8,6.8,75.6,3.5,62.2,Yes,4.0
S069,24,Male,1.6,6.8,7.2,60.1,5.9,81.3,Yes,4.0
S070,18,Male,5.8,6.0,7.0,96.0,2.7,98.1,Yes,4.0
S071,24,Male,5.1,5.7,6.1,80.4,3.6,87.5,No,4.0
S072,21,Male,2.7,7.1,6.1,74.3,5.0,78.0,Yes,4.0
S073,22,Female,1.5,7.2,5.9,68.1,2.5,73.3,No,4.0
S074,17,Male,0.5,8.1,3.0,64.3,5.0,48.3,No,4.0
S075,21,Male,3.0,7.9,6.3,83.3,6.7,83.6,No,4.0
S076,22,Male,7.4,6.7,2.6,92.5,1.4,100.0,No,4.0
S077,21,Male,4.5,5.6,3.6,87.4,4.2,80.4,No,4.0
S078,17,Female,3.0,6.5,7.3,76.9,6.4,83.6,No,4.0
S079,21,Female,4.5,7.0,6.5,86.1,4.0,94.5,Yes,4.0
S080,24,Female,1.5,6.6,7.7,68.7,5.2,55.8,No,4.0
S081,22,Female,3.4,6.2,4.5,98.3,1.7,100.0,Yes,4.0
S082,18,Male,3.9,7.1,2.9,65.6,4.3,86.9,No,4.0
S083,24,Female,3.7,6.3,4.6,90.4,4.1,85.2,No,4.0
S084,24,Male,5.0,6.2,5.2,95.3,2.7,100.0,No,4.0
S085,18,Male,4.3,7.1,5.1,73.2,4.0,87.3,No,4.0
S086,23,Male,4.8,6.4,7.0,100.0,3.6,94.4,Yes,4.0
S087,20,Female,2.8,7.0,4.3,85.4,3.7,74.5,Yes,4.0
S088,21,Male,5.1,7.1,5.6,92.0,4.3,98.2,Yes,4.0
S089,20,Male,6.2,5.7,3.2,86.9,1.4,100.0,No,4.0
S090,23,Female,2.3,6.3,5.8,72.9,6.5,69.0,No,4.0
S091,24,Male,2.5,8.2,5.0,73.6,2.6,71.7,Yes,4.0
S092,23,Female,5.8,5.6,3.7,88.9,2.6,100.0,Yes,4.0
S093,24,Male,3.5,4.7,4.6,91.1,7.2,77.4,Yes,4.0
S094,24,Male,5.9,4.9,4.7,87.3,5.2,85.0,Yes,4.0
S095,17,Male,3.1,6.8,4.5,69.1,4.5,65.3,Yes,4.0
S096,19,Female,6.0,6.8,8.2,93.4,2.8,100.0,No,4.0
S097,22,Male,4.0,6.7,4.8,88.3,3.4,67.3,No,4.0
S098,21,Male,4.2,8.0,4.6,86.5,3.5,90.4,Yes,4.0
S099,17,Male,6.1,4.1,1.2,93.0,3.2,98.1,No,4.0
S100,17,Female,3.3,7.2,3.4,75.5,3.7,91.5,No,4.0
S101,21,Female,2.4,8.4,4.5,66.8,4.1,69.3,Yes,4.0
S102,21,Female,3.1,5.7,3.8,69.5,4.3,82.8,Yes,4.0
S103,18,Male,4.5,6.4,7.5,66.8,2.9,85.0,Yes,4.0
S104,18,Female,1.5,6.0,4.7,74.6,4.8,68.7,Yes,4.0
S105,18,Female,4.8,5.9,7.3,81.6,5.7,93.0,No,4.0
S106,21,Female,3.0,6.5,5.1,73.0,3.0,76.4,No,4.0
S107,17,Male,5.5,8.2,5.1,57.9,2.7,100.0,Yes,4.0
S108,21,Male,0.5,8.6,4.8,58.3,4.0,52.5,No,4.0
S109,20,Male,2.6,6.5,5.0,85.9,4.9,78.6,Yes,4.0
S110,20,Female,1.3,8.7,8.1,65.9,4.9,72.2,No,4.0
S111,22,Male,2.6,6.8,1.0,79.0,5.5,79.1,No,4.0
S112,21,Male,4.2,8.6,1.4,68.1,3.1,100.0,Yes,4.0
S113,22,Male,3.5,6.7,4.0,91.4,2.5,81.3,Yes,4.0
S114,23,Female,3.4,6.9,5.0,76.9,5.1,68.0,No,4.0
S115,24,Male,3.6,7.2,6.2,81.4,3.5,76.3,No,4.0
S116,23,Female,4.1,9.5,5.9,100.0,2.6,97.7,Yes,4.0
S117,21,Female,2.3,7.7,4.3,88.5,4.7,79.3,Yes,4.0
S118,20,Female,4.9,6.1,6.8,79.9,,92.0,Yes,4.0
S119,18,Male,,7.8,6.9,77.1,4.9,78.9,No,4.0
S120,21,Female,4.4,6.4,5.3,78.3,3.2,95.2,No,4.0
S121,18,Female,4.6,6.3,6.7,86.4,3.7,81.0,No,4.0
S122,24,Female,4.2,7.7,5.5,79.7,3.0,97.8,No,4.0
S123,23,Male,6.9,6.8,4.0,85.1,1.8,100.0,No,4.0
S124,17,Male,3.7,7.1,6.3,92.3,5.7,85.3,No,4.0
S125,23,Male,3.3,6.8,5.2,76.9,5.2,82.9,Yes,4.0
S126,17,Male,2.7,7.1,5.0,96.8,6.6,71.5,No,4.0
S127,22,Male,2.3,7.2,7.7,75.7,8.1,51.7,Yes,4.0
S128,17,Male,1.9,4.9,1.0,89.8,3.4,70.9,Yes,4.0
S129,20,Male,2.5,7.5,2.4,78.7,3.9,67.6,No,4.0
S130,22,Female,3.7,5.8,2.9,87.8,2.6,76.2,No,4.0
S131,22,Male,4.3,5.4,4.3,74.4,3.3,100.0,No,4.0
S132,20,Female,3.9,6.7,4.5,72.0,3.3,86.9,Yes,4.0
S133,24,Female,2.7,6.9,2.3,80.2,2.7,83.3,No,4.0
S134,23,Male,5.2,6.1,3.2,92.5,2.1,96.2,No,4.0
S135,18,Female,4.9,7.6,3.5,83.1,2.8,92.4,Yes,4.0
S136,22,Male,3.6,5.5,9.4,67.2,4.3,87.8,Yes,4.0
S137,22,Female,2.8,6.4,8.2,64.2,6.6,69.9,No,4.0
S138,19,Male,4.6,6.2,4.3,69.0,2.7,93.9,Yes,4.0
S139,22,Female,4.1,6.8,4.3,64.4,7.2,75.2,No,4.0
S140,24,Male,1.6,7.1,2.9,73.8,4.0,67.1,Yes,4.0
S141,23,Male,3.7,5.8,1.6,89.2,3.8,74.4,Yes,4.0
S142,23,Male,4.2,7.5,4.8,80.5,2.1,74.7,No,4.0
S143,22,Female,2.5,6.9,3.2,55.2,6.3,65.2,Yes,4.0
S144,19,Female,4.1,4.9,4.8,78.6,6.0,82.2,No,4.0
S145,23,Male,1.6,4.8,2.1,71.3,5.5,56.1,No,4.0
S146,19,Male,5.8,6.8,3.6,100.0,1.3,100.0,Yes,4.0
S147,21,Male,5.7,6.6,5.3,72.0,3.7,95.2,No,4.0
S148,19,Female,3.4,6.7,5.7,74.7,3.2,65.2,No,4.0
S149,19,Male,4.3,6.8,5.8,96.3,5.9,79.0,No,4.0
S150,18,Male,0.5,7.0,2.6,73.5,5.9,62.7,No,4.0
S151,24,Female,2.1,7.7,6.5,79.4,5.1,74.8,No,4.0
S152,18,Female,3.4,5.7,3.6,79.2,1.5,77.4,No,4.0
S153,17,Male,2.2,5.6,6.1,77.6,4.4,74.6,Yes,4.0
S154,24,Female,4.9,5.7,5.0,89.7,4.9,98.9,No,4.0
S155,21,Male,6.8,7.1,2.5,81.1,3.5,100.0,No,4.0
S156,20,Female,2.0,8.0,4.4,81.9,5.7,69.6,No,4.0
S157,22,Male,2.5,6.4,5.7,63.1,3.1,71.4,No,4.0
S158,20,Female,4.2,4.3,6.1,83.6,5.5,79.2,No,4.0
S159,18,Female,6.2,5.1,4.7,88.2,4.8,100.0,No,4.0
S160,22,Female,2.0,6.0,7.8,68.5,4.0,72.9,No,4.0
S161,18,Male,4.2,6.2,6.8,80.4,4.6,90.5,Yes,4.0
S162,21,Female,6.5,6.4,4.5,81.9,3.3,100.0,Yes,4.0
S163,24,Male,1.3,6.8,6.4,62.3,5.3,70.0,No,4.0
S164,24,Male,1.9,6.5,8.5,,3.8,72.2,No,4.0
S165,19,Female,3.2,7.8,8.5,67.7,4.6,83.5,No,4.0
S166,23,Male,3.0,6.1,2.8,79.9,3.8,86.7,Yes,4.0
S167,21,Female,5.0,5.9,3.3,72.6,3.3,85.0,Yes,4.0
S168,20,Female,4.2,7.3,7.7,87.0,3.8,73.8,No,4.0
S169,18,Male,1.1,5.3,3.1,60.7,4.9,75.1,No,4.0
S170,20,Female,4.6,7.2,2.6,76.7,3.0,92.5,No,4.0
S171,22,Male,2.9,6.9,4.1,71.1,4.8,61.9,No,4.0
S172,24,Female,5.7,6.7,5.8,97.0,3.2,94.5,No,4.0
S173,17,Male,2.9,8.4,4.8,79.7,3.5,85.9,No,4.0
S174,22,Female,2.8,6.2,3.8,74.5,4.6,73.8,No,4.0
S175,23,Male,4.6,8.9,3.8,86.3,1.0,92.0,No,4.0
S176,24,Male,4.9,6.6,3.7,63.7,4.0,99.1,No,4.0
S177,20,Male,4.5,5.5,3.4,81.1,3.9,80.4,Yes,4.0
S178,17,Other,1.3,6.9,9.1,89.9,6.3,60.0,Yes,4.0
S179,19,Female,4.6,5.7,5.5,83.0,5.5,88.2,No,4.0
S180,23,Female,2.2,6.0,6.6,75.2,3.2,78.5,No,4.0
S181,24,Female,4.2,7.2,4.1,85.5,1.2,97.2,No,4.0
S182,22,Female,1.7,7.4,4.7,81.2,5.1,76.9,Yes,4.0
S183,17,Female,4.5,6.2,3.7,,3.7,87.6,No,4.0
S184,17,Male,2.6,7.8,1.0,60.7,3.6,78.2,Yes,4.0
S185,20,Female,1.9,8.0,2.5,75.6,3.4,71.1,No,4.0
S186,21,Female,4.9,8.2,1.7,76.3,3.1,92.4,No,4.0
S187,17,Male,4.2,7.3,1.0,92.4,3.9,89.9,No,4.0
S188,22,Male,2.9,8.2,2.8,73.9,4.1,79.2,No,4.0
S189,21,Female,6.0,4.9,7.4,68.6,4.1,100.0,Yes,4.0
S190,17,Male,3.1,6.5,4.9,65.9,2.0,85.9,No,4.0
S191,17,Female,3.8,5.9,7.3,54.7,6.0,76.0,No,4.0
S192,20,Male,4.2,6.9,5.7,78.5,5.6,76.7,No,4.0
S193,22,Male,2.9,6.2,6.4,,5.9,74.6,No,4.0
S194,23,Female,4.5,6.6,3.4,77.7,2.5,90.8,Yes,4.0
S195,20,Male,3.0,8.7,5.9,86.7,4.9,80.4,Yes,4.0
S196,19,Male,3.2,6.6,6.3,88.4,5.9,96.0,Yes,4.0
S197,24,Female,5.8,7.2,4.0,83.9,4.7,91.3,Yes,4.0
S198,20,Female,2.2,6.6,6.0,55.4,4.1,73.4,Yes,4.0
S199,19,Male,0.5,6.9,6.0,75.1,5.6,68.9,No,4.0
S200,20,Male,6.2,6.8,4.0,91.6,3.7,100.0,No,4.0
S201,17,Female,7.6,7.2,3.0,93.6,1.9,100.0,Yes,4.0
S202,19,Other,3.2,8.0,2.9,86.4,2.1,82.5,Yes,4.0
S203,21,Female,0.9,8.4,5.2,60.2,5.5,62.8,Yes,4.0
S204,24,Male,3.3,7.1,5.6,96.0,5.1,75.5,No,4.0
S205,22,Male,3.4,7.4,3.6,69.6,3.9,77.3,Yes,4.0
S206,23,Male,3.5,5.6,5.0,85.2,5.0,83.3,No,4.0
S207,21,Male,2.1,6.7,6.0,59.1,4.9,75.2,No,4.0
S208,17,Female,4.7,7.7,6.1,73.7,5.5,88.0,Yes,4.0
S209,20,Male,4.6,7.7,7.8,95.4,3.1,100.0,No,4.0
S210,24,Female,1.6,7.0,7.3,70.5,5.0,66.5,No,4.0
S211,17,Female,4.8,7.7,3.2,90.0,3.0,91.3,Yes,4.0
S212,24,Female,6.9,7.3,8.0,90.8,4.4,100.0,Yes,4.0
S213,22,Male,,8.0,4.0,79.4,1.6,93.8,No,4.0
S214,19,Female,3.3,7.1,6.9,90.2,3.2,78.9,No,4.0
S215,23,Female,3.6,6.4,5.1,76.7,2.0,80.9,No,4.0
S216,23,Female,4.7,7.1,4.3,66.1,3.5,80.6,No,4.0
S217,17,Male,1.2,4.0,1.7,64.4,4.1,73.1,Yes,4.0
S218,17,Male,4.0,7.2,4.7,85.0,3.4,84.6,No,4.0
S219,22,Female,3.2,4.0,2.2,81.2,5.5,78.8,No,4.0
S220,24,Male,6.6,5.1,6.7,73.7,3.2,100.0,Yes,4.0
S221,17,Male,3.5,7.3,7.7,72.0,5.1,84.6,No,4.0
S222,22,Male,6.3,7.3,3.6,81.7,2.2,96.3,No,4.0
S223,18,Female,2.1,5.6,5.5,71.0,6.3,59.2,No,4.0
S224,22,Female,4.7,6.1,3.7,69.7,4.2,89.1,Yes,4.0
S225,21,Male,4.3,8.2,3.9,75.2,2.3,94.5,Yes,4.0
S226,17,Female,2.5,6.3,6.4,68.9,5.1,74.9,No,4.0
S227,22,Male,4.1,9.0,4.9,87.2,4.5,79.8,No,4.0
S228,24,Female,5.6,6.8,8.1,92.1,4.6,100.0,No,4.0
S229,23,Female,3.3,7.2,4.1,76.6,2.3,78.0,No,4.0
S230,17,Male,1.3,8.4,6.8,68.4,6.0,58.9,No,4.0
S231,18,Male,3.8,6.9,5.2,80.7,2.9,79.0,Yes,4.0
S232,18,Male,2.4,5.8,6.4,67.9,7.2,77.6,Yes,4.0
S233,20,Female,3.3,6.7,4.2,67.6,5.4,81.2,Yes,4.0
S234,18,Female,3.7,6.8,4.9,70.6,4.5,85.7,Yes,4.0
S235,23,Female,1.2,5.4,4.8,65.9,6.0,72.0,No,4.0
S236,23,Female,1.4,6.5,3.5,61.7,4.7,87.6,Yes,4.0
S237,23,Male,4.5,6.1,6.2,83.0,5.2,72.9,Yes,4.0
S238,18,Female,3.0,7.7,6.2,83.6,4.1,73.9,No,4.0
S239,17,Male,0.5,6.8,6.1,55.2,6.2,50.6,Yes,3.65
S240,24,Male,5.0,6.5,7.8,83.2,5.5,82.2,Yes,4.0
S241,19,Female,4.2,6.7,7.6,78.6,4.0,77.7,No,4.0
S242,22,Female,2.7,7.0,4.3,79.2,3.7,75.7,Yes,4.0
S243,24,Male,1.8,7.4,5.7,73.3,3.6,62.1,No,4.0
S244,17,Female,5.1,5.8,3.9,70.2,2.4,96.1,No,4.0
S245,17,Female,4.3,5.8,5.0,69.5,2.1,89.5,Yes,4.0
S246,17,Female,7.4,7.9,3.9,90.5,2.8,100.0,No,4.0
S247,18,Female,4.4,6.4,7.9,90.5,6.9,88.0,No,4.0
S248,17,Male,4.4,5.4,5.7,61.3,6.3,84.7,No,4.0
S249,23,Male,3.5,7.2,4.6,81.6,2.1,83.5,No,4.0
S250,21,Male,5.0,7.3,7.1,93.7,4.8,100.0,No,4.0
S251,24,Female,4.7,5.3,1.1,80.7,5.0,89.6,No,4.0
S252,23,Female,5.7,7.0,1.4,90.1,1.8,86.9,No,4.0
S253,24,Male,3.0,7.5,6.4,70.7,4.7,68.3,Yes,4.0
S254,18,Male,3.1,7.2,5.1,76.2,2.0,69.4,No,4.0
S255,19,Male,3.1,7.4,5.5,62.7,4.7,75.6,No,4.0
S256,23,Female,5.0,5.4,2.6,61.9,2.2,90.8,No,4.0
S257,18,Female,6.0,7.1,5.0,94.5,3.3,97.7,Yes,4.0
S258,17,Male,3.1,6.5,8.6,68.4,3.6,94.8,Yes,4.0
S259,22,Male,3.2,6.3,6.5,73.5,5.6,80.6,No,4.0
S260,23,Female,4.3,7.7,5.3,68.4,4.9,89.1,No,4.0
S261,24,Male,3.4,8.3,4.2,65.5,2.7,74.3,No,4.0
S262,24,Female,5.2,8.6,4.3,82.0,1.4,90.2,Yes,4.0
S263,17,Male,0.5,8.1,1.2,62.9,1.7,66.2,Yes,4.0
S264,23,Male,2.6,6.7,5.5,79.2,4.5,77.2,No,4.0
S265,23,Female,2.6,,6.5,79.9,4.2,61.7,Yes,4.0
S266,22,Male,0.5,7.6,2.2,72.4,2.8,64.0,No,4.0
S267,23,Male,2.4,6.9,3.8,77.3,5.0,73.4,Yes,4.0
S268,23,Male,2.4,6.9,2.9,89.4,3.7,76.4,Yes,4.0
S269,20,Male,3.5,7.6,3.3,68.9,2.3,77.3,Yes,4.0
S270,17,Male,5.5,6.7,5.1,84.0,2.8,93.2,No,4.0
S271,20,Male,3.4,6.1,1.2,88.4,4.9,80.1,No,4.0
S272,18,Male,2.3,6.4,6.1,86.3,6.0,73.1,No,4.0
S273,17,Male,3.7,7.4,6.4,66.3,4.2,85.6,No,4.0
S274,17,Female,5.4,6.8,4.5,81.4,4.1,100.0,Yes,4.0
S275,22,Female,2.3,7.1,1.0,87.1,2.3,77.5,No,4.0
S276,21,Male,2.4,7.5,3.2,79.8,4.1,71.9,Yes,4.0
S277,21,Male,4.6,6.4,7.2,83.6,4.7,91.7,Yes,4.0
S278,22,Female,3.5,7.6,1.0,76.5,2.5,89.7,No,4.0
S279,21,Female,4.8,7.2,4.4,78.9,3.9,86.7,Yes,4.0
S280,22,Female,3.8,5.6,2.9,82.0,3.1,92.7,No,4.0
S281,17,Male,4.9,8.2,6.4,80.4,4.1,98.5,No,4.0
S282,23,Male,2.2,6.3,3.8,74.2,5.4,81.1,No,4.0
S283,20,Male,3.8,5.1,5.7,80.1,1.4,100.0,No,4.0
S284,18,Male,3.5,5.8,6.0,72.4,6.3,69.5,No,4.0
S285,23,Female,2.0,5.8,8.3,78.8,2.5,76.3,Yes,4.0
S286,22,Male,1.5,6.9,4.6,98.7,4.3,73.3,Yes,4.0
S287,17,Male,4.8,6.5,5.7,66.4,5.2,84.6,Yes,4.0
S288,18,Male,3.3,6.5,2.3,80.8,3.4,77.3,No,4.0
S289,17,Female,2.3,7.4,7.1,68.1,3.4,62.4,No,4.0
S290,19,Male,3.7,7.1,3.6,84.3,2.4,88.3,Yes,4.0
S291,17,Female,5.5,7.1,4.0,84.9,4.3,88.5,No,4.0
S292,22,Male,0.5,7.2,5.0,76.4,3.2,66.0,No,4.0
S293,21,Female,1.6,7.4,2.2,83.4,,62.1,No,4.0
S294,24,Male,2.4,4.7,5.4,76.9,5.6,63.2,No,4.0
S295,22,Female,6.0,,6.7,96.2,2.3,100.0,No,4.0
S296,21,Female,4.2,4.6,5.5,59.5,4.2,83.7,No,4.0
S297,21,Other,5.0,6.8,2.1,97.3,1.7,100.0,No,4.0
S298,17,Female,2.1,6.8,4.8,77.7,5.9,87.3,Yes,4.0
S299,17,Female,2.1,7.8,6.3,84.0,5.8,73.3,No,4.0
S300,21,Female,4.5,8.0,1.6,70.5,1.0,96.6,Yes,4.0
S011,23,Male,4.3,8.0,6.8,84.8,4.6,87.6,No,4.0
S046,19,Female,5.4,5.7,7.4,89.2,5.6,77.1,Yes,4.0
